r
-0.018128844
-0.001293243
-0.011821086
0
0.005138086
0.008419689
0.003248863
-0.017555059
-0.008857956
-0.004722922
0.00157679
0.00157928
-0.015853279
0.004057428
0
-0.01445709
-0.003982843
-0.001834862
-0.005776832
0.006425949
0.001532332
0.005546995
0.005577936
0.022820919
0.000634317
-0.0146875
-0.000936622
-0.011419753
-0.019963702
-0.000302389
0.001817631
-0.003622095
-0.005702281
0.018337408
0.018997197
0.005952381
-0.004056162
-0.007739938
0.009375
0.014263074
0.009923175
-0.001916933
-0.003184713
0.003836317
0.014596173
0.025956739
0.016232668
-0.012687813
0.007399933
0.026943005
-0.049885133
-0.022771007
0.066712282
0.002744425
0.003442341
0.040100251
-0.027168234
0.060583672
0.03915547
-0.023979018
0.015987819
0.046613546
-0.000796178
-0.015673981
0.005912495
-0.027223926
-0.024682124
-0.029048656
0.012127894
0.014919806
-0.041815583
-0.047002725
0.012064805
0.011506276
-0.059672131
-0.031438552
0.004145408
-0.01785155
0.006937874
-0.023406221
0.013737121
-0.002801993
0.006265664
0.001254705
-0.022984983
-0.008206687
0.002132196
0.008602151
0.019417476
0.009484666
0.002535658
-0.000949968
0.012828736
0.007756949
0.023486603
-0.014667536
-0.000651466
0.01320132
-0.0029615
-0.031857279
-0.011338583
0.000630318
